25003931300,"Savoy, florida"
25003931400,"Peru, windsor"
25003932200,"Washington, becket"
25003933200,"Monterey, tyringham"
25003933400,"Sandisfield, otis"
25003934300,"Alford, egremont, mount washington"
25003935100,"Richmond, new ashford, hancock"
25007200400,"Gosnold, chilmark, west tisbury, aquinnah"
25011040100,"Colrain, rowe, hawley, heath"
25011040200,"Bernardston, leyden, gill"
25011040400,"Erving, wendell, warwick"
25011040600,"Shutesbury, leverett, new salem"
25011040800,"Whately, sunderland"
25011041501,"Conway, ashfield"
25011041502,"Buckland, shelburne"
25013813000,"Russell, blandford, granville, tolland, montgomery, chester"
25013813801,"Wales, holland"
25015822606,"Goshen, williamsburg"
25015822700,"Plainfield, cummington, middlefield"
25027704200,"Petersham, phillipston"
25027723100,"Hardwick, new braintree"
